127.0.0.1 - - [17/Apr/2018:02:43:01 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:06 -0700] "GET /Online_FIR_System/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:07 -0700] "GET /Online_FIR_System/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:07 -0700] "GET /Online_FIR_System/fonts/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:07 -0700] "GET /Online_FIR_System/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:07 -0700] "GET /Online_FIR_System/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:07 -0700] "GET /Online_FIR_System/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/jquery.1.11.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/jquery.counterup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/waypoints.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/SmoothScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/fonts/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/jquery.isotope.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/contact_me.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/img/header-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/jqBootstrapValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:08 -0700] "GET /Online_FIR_System/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/portfolio/08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:09 -0700] "GET /Online_FIR_System/img/favicon.ico HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:26 -0700] "GET /Online_FIR_System/img/prettyPhoto/default/sprite_x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:26 -0700] "GET /Online_FIR_System/img/prettyPhoto/default/sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:26 -0700] "GET /Online_FIR_System/img/prettyPhoto/default/sprite_y.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:26 -0700] "GET /Online_FIR_System/img/prettyPhoto/default/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:43:26 -0700] "GET /Online_FIR_System/img/prettyPhoto/light_rounded/btnNext.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:48 -0700] "GET /Online_FIR_System/index.html HTTP/1.1" 200 13054
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:49 -0700] "GET /Online_FIR_System/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:56 -0700] "GET /Online_FIR_System/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:56 -0700] "GET /Online_FIR_System/css/sb-admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:57 -0700] "GET /Online_FIR_System/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:57 -0700] "GET /Online_FIR_System/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:57 -0700] "GET /Online_FIR_System/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:57 -0700] "GET /Online_FIR_System/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:57 -0700] "GET /Online_FIR_System/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:57 -0700] "GET /Online_FIR_System/img/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:44:58 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:07 -0700] "POST /Online_FIR_System/LoginServlate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:07 -0700] "GET /Online_FIR_System/user.jsp HTTP/1.1" 200 12293
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/vendor/datatables/dataTables.bootstrap4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/vendor/datatables/dataTables.bootstrap4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/js/sb-admin-datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/js/sb-admin.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/vendor/datatables/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/js/sb-admin-charts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:08 -0700] "GET /Online_FIR_System/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:09 -0700] "GET /Online_FIR_System/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:31 -0700] "GET /Online_FIR_System/SearchCriminalDetail.jsp HTTP/1.1" 200 14490
0:0:0:0:0:0:0:1 - - [17/Apr/2018:02:45:42 -0700] "GET /Online_FIR_System/ChangePassword.jsp HTTP/1.1" 200 13113
