0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:14 -0700] "GET /Online_FIR_System/img/about.jpg HTTP/1.1" 200 34817
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:14 -0700] "GET /Online_FIR_System/img/portfolio/03.jpg HTTP/1.1" 200 174119
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:14 -0700] "GET /Online_FIR_System/img/portfolio/08.jpg HTTP/1.1" 200 152195
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:14 -0700] "GET /Online_FIR_System/img/portfolio/06.jpg HTTP/1.1" 200 308499
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:14 -0700] "GET /Online_FIR_System/img/portfolio/07.jpg HTTP/1.1" 200 326870
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:14 -0700] "GET /Online_FIR_System/img/favicon.ico HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:24 -0700] "GET /Online_FIR_System/login.html HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [12/May/2019:01:13:25 -0700] "GET /Online_FIR_System/img/15.jpg HTTP/1.1" 200 97513
0:0:0:0:0:0:0:1 - - [12/May/2019:01:15:33 -0700] "GET /Online_FIR_System/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:15:34 -0700] "GET /Online_FIR_System/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:15:52 -0700] "POST /Online_FIR_System/LoginServlate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:15:52 -0700] "GET /Online_FIR_System/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:16:19 -0700] "POST /Online_FIR_System/LoginServlate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:16:19 -0700] "GET /Online_FIR_System/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:17:19 -0700] "POST /Online_FIR_System/LoginServlate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:17:19 -0700] "GET /Online_FIR_System/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:19:11 -0700] "GET /Online_FIR_System/FIR_Search.jsp HTTP/1.1" 200 15072
0:0:0:0:0:0:0:1 - - [12/May/2019:01:19:23 -0700] "GET /Online_FIR_System/SearchCriminalDetail.jsp HTTP/1.1" 200 14268
0:0:0:0:0:0:0:1 - - [12/May/2019:01:19:25 -0700] "GET /Online_FIR_System/Missing_Record.jsp HTTP/1.1" 200 15053
0:0:0:0:0:0:0:1 - - [12/May/2019:01:19:28 -0700] "GET /Online_FIR_System/Theft_Record.jsp HTTP/1.1" 200 15018
0:0:0:0:0:0:0:1 - - [12/May/2019:01:19:55 -0700] "POST /Online_FIR_System/TheftServlate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2019:01:19:55 -0700] "GET /Online_FIR_System/Theft_Search.jsp HTTP/1.1" 200 14807
0:0:0:0:0:0:0:1 - - [12/May/2019:01:20:16 -0700] "GET /Online_FIR_System/ViewMissingComplainStatusUser.jsp HTTP/1.1" 200 17832
0:0:0:0:0:0:0:1 - - [12/May/2019:01:20:23 -0700] "GET /Online_FIR_System/SearchCriminalDetail.jsp HTTP/1.1" 200 14268
